USERID,r_score,f_score,m_score,rfm_wscore,rfm_comb
51349,1,1,1,0.9999999999999999,111
51350,5,1,1,3.4,511
51351,5,1,1,3.4,511
51352,3,1,1,2.1999999999999997,311
51353,3,1,1,2.1999999999999997,311
51356,4,1,1,2.8,411
51357,1,1,1,0.9999999999999999,111
51358,2,1,1,1.6,211
51360,4,1,1,2.8,411
51361,4,1,1,2.8,411
51362,2,1,1,1.6,211
51365,4,1,1,2.8,411
51367,4,1,1,2.8,411
51369,4,1,1,2.8,411
51372,3,1,1,2.1999999999999997,311
51374,5,1,1,3.4,511
51375,5,1,1,3.4,511
51376,3,1,1,2.1999999999999997,311
51378,5,1,1,3.4,511
51379,4,1,1,2.8,411
51380,3,1,1,2.1999999999999997,311
51381,2,1,1,1.6,211
51382,2,1,1,1.6,211
51385,1,1,1,0.9999999999999999,111
51388,5,1,1,3.4,511
51391,1,1,1,0.9999999999999999,111
51392,2,1,1,1.6,211
51394,4,1,1,2.8,411
51395,5,1,1,3.4,511
51396,4,1,1,2.8,411
51398,5,1,1,3.4,511
51400,2,1,1,1.6,211
51401,3,1,1,2.1999999999999997,311
51403,3,1,1,2.1999999999999997,311
51405,2,1,1,1.6,211
51406,5,1,1,3.4,511
51407,1,1,1,0.9999999999999999,111
51409,1,1,1,0.9999999999999999,111
51410,5,1,1,3.4,511
51413,3,1,1,2.1999999999999997,311
51414,5,1,1,3.4,511
51415,5,1,1,3.4,511
51417,2,1,1,1.6,211
51419,5,1,1,3.4,511
51421,2,1,1,1.6,211
51422,3,1,1,2.1999999999999997,311
51423,5,1,1,3.4,511
51427,5,1,1,3.4,511
51428,4,1,1,2.8,411
51429,3,1,1,2.1999999999999997,311
51432,2,1,1,1.6,211
51434,3,1,1,2.1999999999999997,311
51435,2,1,1,1.6,211
51436,1,1,1,0.9999999999999999,111
51439,5,1,1,3.4,511
51440,4,1,1,2.8,411
51441,1,1,1,0.9999999999999999,111
51443,3,1,1,2.1999999999999997,311
51445,1,1,1,0.9999999999999999,111
51446,5,1,1,3.4,511
51447,4,1,1,2.8,411
51448,3,1,1,2.1999999999999997,311
51449,5,1,1,3.4,511
51451,5,2,1,3.7,521
51454,1,1,1,0.9999999999999999,111
51455,4,1,1,2.8,411
51457,5,1,1,3.4,511
51458,1,1,1,0.9999999999999999,111
51461,4,1,1,2.8,411
51465,3,1,1,2.1999999999999997,311
51466,1,1,1,0.9999999999999999,111
51467,2,1,1,1.6,211
51468,5,1,1,3.4,511
51469,2,1,1,1.6,211
51471,3,1,1,2.1999999999999997,311
51472,4,1,1,2.8,411
51474,4,1,1,2.8,411
51475,2,1,1,1.6,211
51478,4,1,1,2.8,411
51479,4,1,1,2.8,411
51480,2,1,1,1.6,211
51482,5,1,1,3.4,511
51483,5,1,1,3.4,511
51485,5,1,1,3.4,511
51486,2,1,1,1.6,211
51487,5,1,1,3.4,511
51490,4,1,1,2.8,411
51491,2,1,1,1.6,211
51494,3,1,1,2.1999999999999997,311
51497,2,1,1,1.6,211
51499,5,1,1,3.4,511
51502,1,1,1,0.9999999999999999,111
51503,5,1,1,3.4,511
51504,2,1,1,1.6,211
51505,5,1,1,3.4,511
51506,5,1,1,3.4,511
51507,5,1,1,3.4,511
51509,4,1,1,2.8,411
51512,5,1,1,3.4,511
51513,4,1,1,2.8,411
51514,2,1,1,1.6,211
51516,4,1,1,2.8,411
51519,1,1,1,0.9999999999999999,111
51520,5,1,1,3.4,511
51521,2,1,1,1.6,211
51523,1,1,1,0.9999999999999999,111
51525,2,1,1,1.6,211
51526,5,1,1,3.4,511
51527,3,1,1,2.1999999999999997,311
51529,4,2,1,3.1,421
51530,4,1,1,2.8,411
51533,2,1,1,1.6,211
51538,5,1,1,3.4,511
51540,5,1,1,3.4,511
51541,3,1,1,2.1999999999999997,311
51542,1,1,1,0.9999999999999999,111
51547,5,1,1,3.4,511
51550,4,1,1,2.8,411
51551,3,1,1,2.1999999999999997,311
51552,5,1,1,3.4,511
51554,2,1,1,1.6,211
51555,5,1,1,3.4,511
51557,4,1,1,2.8,411
51558,1,1,1,0.9999999999999999,111
51560,3,1,1,2.1999999999999997,311
51563,4,1,1,2.8,411
51564,4,1,1,2.8,411
51566,5,1,1,3.4,511
51568,2,1,1,1.6,211
51570,4,1,1,2.8,411
51571,3,1,1,2.1999999999999997,311
51573,5,1,1,3.4,511
51576,4,1,1,2.8,411
51577,2,1,1,1.6,211
51578,3,1,1,2.1999999999999997,311
51579,4,1,1,2.8,411
51580,3,1,1,2.1999999999999997,311
51583,5,1,1,3.4,511
51584,4,1,1,2.8,411
51585,5,1,1,3.4,511
51586,3,1,1,2.1999999999999997,311
51587,2,1,1,1.6,211
51588,5,1,1,3.4,511
51589,5,1,1,3.4,511
51591,4,1,1,2.8,411
51596,5,1,1,3.4,511
51599,2,1,1,1.6,211
51601,3,1,1,2.1999999999999997,311
51603,4,1,1,2.8,411
51605,4,1,1,2.8,411
51606,1,1,1,0.9999999999999999,111
51609,3,1,1,2.1999999999999997,311
51611,5,1,1,3.4,511
51612,1,1,1,0.9999999999999999,111
51614,5,1,1,3.4,511
51618,3,1,1,2.1999999999999997,311
51619,3,1,1,2.1999999999999997,311
51620,3,1,1,2.1999999999999997,311
51625,5,1,1,3.4,511
51627,4,1,1,2.8,411
51630,4,1,1,2.8,411
51632,2,1,1,1.6,211
51633,5,1,1,3.4,511
51635,3,1,1,2.1999999999999997,311
51636,4,1,1,2.8,411
51637,3,1,1,2.1999999999999997,311
51639,5,1,1,3.4,511
51640,5,1,1,3.4,511
51645,5,1,1,3.4,511
51646,3,1,1,2.1999999999999997,311
51647,4,1,1,2.8,411
51651,2,1,1,1.6,211
51652,5,1,1,3.4,511
51656,4,1,1,2.8,411
51658,5,1,1,3.4,511
51659,1,1,1,0.9999999999999999,111
51660,2,1,1,1.6,211
51662,5,1,1,3.4,511
51664,2,1,1,1.6,211
51666,2,1,1,1.6,211
51668,4,1,1,2.8,411
51671,5,1,1,3.4,511
51675,5,1,1,3.4,511
51676,5,1,1,3.4,511
51677,1,1,1,0.9999999999999999,111
51678,1,1,1,0.9999999999999999,111
51679,5,1,1,3.4,511
51680,5,1,1,3.4,511
51681,4,1,1,2.8,411
51683,5,1,1,3.4,511
51684,5,1,1,3.4,511
51686,5,1,1,3.4,511
51687,1,1,1,0.9999999999999999,111
51688,1,1,1,0.9999999999999999,111
51690,2,1,1,1.6,211
51692,5,2,1,3.7,521
51696,2,1,1,1.6,211
51699,2,1,1,1.6,211
51700,4,1,1,2.8,411
51701,5,1,1,3.4,511
51703,5,1,1,3.4,511
51704,2,1,1,1.6,211
51705,3,1,1,2.1999999999999997,311
51706,3,1,1,2.1999999999999997,311
51707,4,1,1,2.8,411
51709,2,1,1,1.6,211
51710,3,1,1,2.1999999999999997,311
51714,3,1,1,2.1999999999999997,311
51716,5,1,1,3.4,511
51718,5,1,1,3.4,511
51720,4,1,1,2.8,411
51721,2,1,1,1.6,211
51724,4,1,1,2.8,411
51725,5,1,1,3.4,511
51726,2,1,1,1.6,211
51727,1,1,1,0.9999999999999999,111
51731,3,1,1,2.1999999999999997,311
51733,4,1,1,2.8,411
51734,4,1,1,2.8,411
51737,1,1,1,0.9999999999999999,111
51738,2,1,1,1.6,211
51739,5,1,1,3.4,511
51741,3,1,1,2.1999999999999997,311
51743,2,1,1,1.6,211
51744,2,1,1,1.6,211
51747,5,1,1,3.4,511
51748,4,1,1,2.8,411
51754,4,1,1,2.8,411
51757,2,1,1,1.6,211
51759,1,1,1,0.9999999999999999,111
51760,4,1,1,2.8,411
51761,5,1,1,3.4,511
51762,5,1,1,3.4,511
51764,1,1,1,0.9999999999999999,111
51765,2,1,1,1.6,211
51766,5,1,1,3.4,511
51767,4,1,1,2.8,411
51768,5,1,1,3.4,511
51769,1,1,1,0.9999999999999999,111
51771,3,1,1,2.1999999999999997,311
51772,3,1,1,2.1999999999999997,311
51775,5,1,1,3.4,511
51778,4,1,1,2.8,411
51781,3,1,1,2.1999999999999997,311
51782,2,1,1,1.6,211
51785,4,1,1,2.8,411
51788,3,1,1,2.1999999999999997,311
51790,4,1,1,2.8,411
51793,1,1,1,0.9999999999999999,111
51794,5,1,1,3.4,511
51795,4,1,1,2.8,411
51797,1,1,1,0.9999999999999999,111
51798,3,1,1,2.1999999999999997,311
51799,2,1,1,1.6,211
51802,4,1,1,2.8,411
51804,2,1,1,1.6,211
51805,5,1,1,3.4,511
51808,4,1,1,2.8,411
51810,3,1,1,2.1999999999999997,311
51812,5,1,1,3.4,511
51814,4,1,1,2.8,411
51821,1,1,1,0.9999999999999999,111
51823,4,1,1,2.8,411
51825,2,1,1,1.6,211
51826,5,1,1,3.4,511
51827,5,1,1,3.4,511
51831,2,1,1,1.6,211
51832,1,1,1,0.9999999999999999,111
51833,1,1,1,0.9999999999999999,111
51835,2,1,1,1.6,211
51839,1,1,1,0.9999999999999999,111
51843,5,1,1,3.4,511
51845,2,1,1,1.6,211
51847,1,1,1,0.9999999999999999,111
51849,4,1,1,2.8,411
51851,3,1,1,2.1999999999999997,311
51852,1,1,1,0.9999999999999999,111
51853,3,1,1,2.1999999999999997,311
51854,2,1,1,1.6,211
51855,5,1,1,3.4,511
51856,5,1,1,3.4,511
51857,3,1,1,2.1999999999999997,311
51859,3,1,1,2.1999999999999997,311
51860,2,1,1,1.6,211
51863,4,1,1,2.8,411
51864,4,1,1,2.8,411
51873,2,1,1,1.6,211
51874,4,1,1,2.8,411
51876,2,1,1,1.6,211
51878,1,1,1,0.9999999999999999,111
51879,4,1,1,2.8,411
51880,5,1,1,3.4,511
51881,2,1,1,1.6,211
51883,2,1,1,1.6,211
51884,4,1,1,2.8,411
51885,2,1,1,1.6,211
51888,5,1,1,3.4,511
51890,3,1,1,2.1999999999999997,311
51891,4,1,1,2.8,411
51893,3,1,1,2.1999999999999997,311
51896,5,1,1,3.4,511
51900,4,1,1,2.8,411
51901,5,1,1,3.4,511
51902,4,1,1,2.8,411
51903,5,1,1,3.4,511
51904,1,1,1,0.9999999999999999,111
51907,3,1,1,2.1999999999999997,311
51908,4,1,1,2.8,411
51910,3,1,1,2.1999999999999997,311
51912,1,1,1,0.9999999999999999,111
51914,1,1,1,0.9999999999999999,111
51916,3,1,1,2.1999999999999997,311
51920,4,1,1,2.8,411
51921,5,1,1,3.4,511
51923,4,1,1,2.8,411
51924,3,1,1,2.1999999999999997,311
51926,4,1,1,2.8,411
51934,2,1,1,1.6,211
51936,4,1,1,2.8,411
51938,1,1,1,0.9999999999999999,111
51939,2,1,1,1.6,211
51940,4,1,1,2.8,411
51941,1,1,1,0.9999999999999999,111
51942,1,1,1,0.9999999999999999,111
51943,4,1,1,2.8,411
51944,4,1,1,2.8,411
51946,5,1,1,3.4,511
51948,1,1,1,0.9999999999999999,111
51954,2,1,1,1.6,211
51956,3,1,1,2.1999999999999997,311
51957,5,1,1,3.4,511
51958,1,1,1,0.9999999999999999,111
51959,5,1,1,3.4,511
51960,3,1,1,2.1999999999999997,311
51961,2,1,1,1.6,211
51966,4,1,1,2.8,411
51967,2,1,1,1.6,211
51968,5,1,1,3.4,511
51969,4,1,1,2.8,411
51970,4,1,1,2.8,411
51972,2,1,1,1.6,211
51978,1,1,1,0.9999999999999999,111
51979,5,1,1,3.4,511
51981,2,1,1,1.6,211
51982,2,1,1,1.6,211
51984,1,1,1,0.9999999999999999,111
51985,5,1,1,3.4,511
51986,5,2,1,3.7,521
51988,4,1,1,2.8,411
51989,4,1,1,2.8,411
51990,5,1,1,3.4,511
51995,5,1,1,3.4,511
51996,4,1,1,2.8,411
51997,3,1,1,2.1999999999999997,311
51998,5,1,1,3.4,511
51999,5,1,1,3.4,511
52000,4,1,1,2.8,411
52003,5,1,1,3.4,511
52007,4,1,1,2.8,411
52009,4,2,1,3.1,421
52013,3,1,1,2.1999999999999997,311
52015,2,1,1,1.6,211
52016,5,1,1,3.4,511
52017,3,1,1,2.1999999999999997,311
52020,5,1,1,3.4,511
52021,5,1,1,3.4,511
52022,5,1,1,3.4,511
52025,4,1,1,2.8,411
52026,3,1,1,2.1999999999999997,311
52029,4,1,1,2.8,411
52032,3,1,1,2.1999999999999997,311
52034,3,1,1,2.1999999999999997,311
52035,2,1,1,1.6,211
52036,3,1,1,2.1999999999999997,311
52038,5,1,1,3.4,511
52039,3,1,1,2.1999999999999997,311
52040,4,1,1,2.8,411
52041,4,1,1,2.8,411
52042,3,1,1,2.1999999999999997,311
52045,3,1,1,2.1999999999999997,311
52046,1,1,1,0.9999999999999999,111
52048,5,1,1,3.4,511
52050,2,1,1,1.6,211
52052,4,1,1,2.8,411
52053,5,1,1,3.4,511
52054,3,1,1,2.1999999999999997,311
52057,3,1,1,2.1999999999999997,311
52058,2,1,1,1.6,211
52060,3,1,1,2.1999999999999997,311
52061,4,1,1,2.8,411
52062,4,1,1,2.8,411
52065,2,1,1,1.6,211
52066,4,1,1,2.8,411
52067,4,1,1,2.8,411
52070,1,1,1,0.9999999999999999,111
52071,4,1,1,2.8,411
52072,1,1,1,0.9999999999999999,111
52074,1,1,1,0.9999999999999999,111
52077,4,1,1,2.8,411
52082,5,1,1,3.4,511
52083,4,1,1,2.8,411
52084,4,1,1,2.8,411
52087,2,1,1,1.6,211
52094,5,1,1,3.4,511
52098,2,1,1,1.6,211
52102,3,2,1,2.5,321
52103,3,1,1,2.1999999999999997,311
52107,2,1,1,1.6,211
52108,2,1,1,1.6,211
52114,2,1,1,1.6,211
52115,2,1,1,1.6,211
52117,1,1,1,0.9999999999999999,111
52122,3,1,1,2.1999999999999997,311
52123,3,1,1,2.1999999999999997,311
52125,1,1,1,0.9999999999999999,111
52126,1,1,1,0.9999999999999999,111
52129,3,1,1,2.1999999999999997,311
52130,5,1,1,3.4,511
52132,1,1,1,0.9999999999999999,111
52133,4,1,1,2.8,411
52135,3,1,1,2.1999999999999997,311
52136,3,1,1,2.1999999999999997,311
52138,2,1,1,1.6,211
52139,4,1,1,2.8,411
52141,2,1,1,1.6,211
52144,5,1,1,3.4,511
52150,2,1,1,1.6,211
52151,4,1,1,2.8,411
52153,1,1,1,0.9999999999999999,111
52154,5,1,1,3.4,511
52156,3,1,1,2.1999999999999997,311
52157,5,1,1,3.4,511
52158,5,1,1,3.4,511
52162,2,1,1,1.6,211
52163,1,1,1,0.9999999999999999,111
52164,4,1,1,2.8,411
52165,4,1,1,2.8,411
52169,2,1,1,1.6,211
52171,3,1,1,2.1999999999999997,311
52172,5,1,1,3.4,511
52181,1,1,1,0.9999999999999999,111
52185,3,1,1,2.1999999999999997,311
52186,3,1,1,2.1999999999999997,311
52189,3,1,1,2.1999999999999997,311
52190,5,1,1,3.4,511
52192,1,1,1,0.9999999999999999,111
52193,1,1,1,0.9999999999999999,111
52194,3,1,1,2.1999999999999997,311
52196,5,1,1,3.4,511
52198,5,1,1,3.4,511
52202,2,1,1,1.6,211
52204,2,1,1,1.6,211
52205,3,1,1,2.1999999999999997,311
52207,1,1,1,0.9999999999999999,111
52208,3,2,1,2.5,321
52211,5,1,1,3.4,511
52215,4,1,1,2.8,411
52218,1,1,1,0.9999999999999999,111
52219,5,1,1,3.4,511
52222,2,1,1,1.6,211
52223,3,1,1,2.1999999999999997,311
52225,5,1,1,3.4,511
52226,3,1,1,2.1999999999999997,311
52227,3,1,1,2.1999999999999997,311
52228,3,1,1,2.1999999999999997,311
52229,5,1,1,3.4,511
52231,3,1,1,2.1999999999999997,311
52233,4,1,1,2.8,411
52235,3,1,1,2.1999999999999997,311
52236,3,1,1,2.1999999999999997,311
52237,4,1,1,2.8,411
52239,5,1,1,3.4,511
52241,3,1,1,2.1999999999999997,311
52242,4,1,1,2.8,411
52246,5,1,1,3.4,511
52249,2,1,1,1.6,211
52255,3,1,1,2.1999999999999997,311
52259,1,1,1,0.9999999999999999,111
52261,2,1,1,1.6,211
52263,2,1,1,1.6,211
52266,3,1,1,2.1999999999999997,311
52268,3,1,1,2.1999999999999997,311
52269,4,1,1,2.8,411
52271,2,1,1,1.6,211
52276,1,1,1,0.9999999999999999,111
52278,4,1,1,2.8,411
52281,3,1,1,2.1999999999999997,311
52282,2,1,1,1.6,211
52284,5,1,1,3.4,511
52285,1,1,1,0.9999999999999999,111
52286,2,1,1,1.6,211
52287,5,1,1,3.4,511
52291,5,1,1,3.4,511
52292,5,1,1,3.4,511
52293,5,1,1,3.4,511
52294,3,1,1,2.1999999999999997,311
52297,5,2,1,3.7,521
52299,3,1,1,2.1999999999999997,311
52300,1,1,1,0.9999999999999999,111
52303,2,1,1,1.6,211
52308,3,1,1,2.1999999999999997,311
52310,5,1,1,3.4,511
52313,3,1,1,2.1999999999999997,311
52315,5,1,1,3.4,511
52316,3,1,1,2.1999999999999997,311
52319,4,1,1,2.8,411
52320,5,1,1,3.4,511
52321,2,1,1,1.6,211
52322,1,1,1,0.9999999999999999,111
52325,4,1,1,2.8,411
52327,1,1,1,0.9999999999999999,111
52330,2,1,1,1.6,211
52331,4,1,1,2.8,411
52333,1,1,1,0.9999999999999999,111
52334,5,1,1,3.4,511
52335,2,1,1,1.6,211
52336,1,1,1,0.9999999999999999,111
52340,2,1,1,1.6,211
52341,2,1,1,1.6,211
52342,5,1,1,3.4,511
52348,5,1,1,3.4,511
52349,2,1,1,1.6,211
52353,5,1,1,3.4,511
52355,3,1,1,2.1999999999999997,311
52357,1,1,1,0.9999999999999999,111
52359,1,1,1,0.9999999999999999,111
52360,3,1,1,2.1999999999999997,311
52363,5,1,1,3.4,511
52367,4,1,1,2.8,411
52368,2,1,1,1.6,211
52372,1,1,1,0.9999999999999999,111
52373,1,1,1,0.9999999999999999,111
52374,2,1,1,1.6,211
52376,4,1,1,2.8,411
52378,4,1,1,2.8,411
52379,3,1,1,2.1999999999999997,311
52381,3,1,1,2.1999999999999997,311
52382,5,1,1,3.4,511
52383,4,1,1,2.8,411
52384,2,1,1,1.6,211
52386,5,1,1,3.4,511
52387,5,1,1,3.4,511
52388,3,1,1,2.1999999999999997,311
52389,5,1,1,3.4,511
52390,2,1,1,1.6,211
52394,4,1,1,2.8,411
52398,2,1,1,1.6,211
52400,4,1,1,2.8,411
52401,5,1,1,3.4,511
52402,4,1,1,2.8,411
52403,3,1,1,2.1999999999999997,311
52406,1,1,1,0.9999999999999999,111
52407,4,1,1,2.8,411
52409,4,1,1,2.8,411
52413,5,1,1,3.4,511
52414,4,1,1,2.8,411
52419,5,1,1,3.4,511
52420,4,1,1,2.8,411
52421,5,1,1,3.4,511
52426,4,1,1,2.8,411
52430,5,1,1,3.4,511
52431,2,1,1,1.6,211
52432,5,2,1,3.7,521
52433,4,1,1,2.8,411
52437,3,1,1,2.1999999999999997,311
52438,4,1,1,2.8,411
52440,2,1,1,1.6,211
52441,3,1,1,2.1999999999999997,311
52443,4,1,1,2.8,411
52445,4,1,1,2.8,411
52446,4,2,1,3.1,421
52452,5,1,1,3.4,511
52453,2,1,1,1.6,211
52455,2,1,1,1.6,211
52456,4,1,1,2.8,411
52458,4,1,1,2.8,411
52459,1,1,1,0.9999999999999999,111
52462,1,1,1,0.9999999999999999,111
52465,5,1,1,3.4,511
52466,4,1,1,2.8,411
52471,1,1,1,0.9999999999999999,111
52475,4,1,1,2.8,411
52478,4,1,1,2.8,411
52482,3,1,1,2.1999999999999997,311
52483,4,1,1,2.8,411
52484,1,1,1,0.9999999999999999,111
52486,5,1,1,3.4,511
52487,3,1,1,2.1999999999999997,311
52488,5,2,1,3.7,521
52489,3,1,1,2.1999999999999997,311
52490,2,1,1,1.6,211
52491,1,1,1,0.9999999999999999,111
52492,2,1,1,1.6,211
52493,3,1,1,2.1999999999999997,311
52494,3,1,1,2.1999999999999997,311
52495,4,1,1,2.8,411
52497,5,1,1,3.4,511
52498,4,1,1,2.8,411
52501,4,1,1,2.8,411
52505,4,1,1,2.8,411
52506,4,1,1,2.8,411
52508,1,1,1,0.9999999999999999,111
52510,4,1,1,2.8,411
52511,2,1,1,1.6,211
52512,4,1,1,2.8,411
52513,1,1,1,0.9999999999999999,111
52514,2,1,1,1.6,211
52517,1,1,1,0.9999999999999999,111
52518,3,1,1,2.1999999999999997,311
52519,5,1,1,3.4,511
52524,1,1,1,0.9999999999999999,111
52525,2,1,1,1.6,211
52527,4,1,1,2.8,411
52529,3,1,1,2.1999999999999997,311
52530,1,1,1,0.9999999999999999,111
52531,4,1,1,2.8,411
52534,2,1,1,1.6,211
52537,3,1,1,2.1999999999999997,311
52539,1,1,1,0.9999999999999999,111
52541,1,1,1,0.9999999999999999,111
52545,3,1,1,2.1999999999999997,311
52546,4,1,1,2.8,411
52547,4,1,1,2.8,411
52548,5,1,1,3.4,511
52550,4,1,1,2.8,411
52551,2,1,1,1.6,211
52552,3,1,1,2.1999999999999997,311
52554,1,1,1,0.9999999999999999,111
52556,5,1,1,3.4,511
52558,5,1,1,3.4,511
52561,1,1,1,0.9999999999999999,111
52562,5,1,1,3.4,511
52565,1,1,1,0.9999999999999999,111
52566,4,1,1,2.8,411
52567,2,1,1,1.6,211
52570,3,1,1,2.1999999999999997,311
52571,4,1,1,2.8,411
52573,4,1,1,2.8,411
52576,4,1,1,2.8,411
52580,5,1,1,3.4,511
52581,1,1,1,0.9999999999999999,111
52582,3,1,1,2.1999999999999997,311
52584,3,1,1,2.1999999999999997,311
52585,2,1,1,1.6,211
52587,5,1,1,3.4,511
52589,2,1,1,1.6,211
52590,2,1,1,1.6,211
52591,5,1,1,3.4,511
52594,5,1,1,3.4,511
52596,5,1,1,3.4,511
52597,5,1,1,3.4,511
52601,5,1,1,3.4,511
52605,5,1,1,3.4,511
52607,1,1,1,0.9999999999999999,111
52608,5,1,1,3.4,511
52612,4,1,1,2.8,411
52614,4,1,1,2.8,411
52615,2,1,1,1.6,211
52617,3,1,1,2.1999999999999997,311
52618,5,1,1,3.4,511
52619,5,1,1,3.4,511
52620,3,1,1,2.1999999999999997,311
52621,5,1,1,3.4,511
52624,5,2,1,3.7,521
52627,1,1,1,0.9999999999999999,111
52628,3,1,1,2.1999999999999997,311
52629,2,1,1,1.6,211
52631,4,1,1,2.8,411
52632,2,1,1,1.6,211
52635,3,1,1,2.1999999999999997,311
52636,2,1,1,1.6,211
52637,4,1,1,2.8,411
52639,1,1,1,0.9999999999999999,111
52643,2,1,1,1.6,211
52646,4,1,1,2.8,411
52648,1,1,1,0.9999999999999999,111
52649,4,1,1,2.8,411
52655,2,1,1,1.6,211
52657,4,1,1,2.8,411
52662,5,1,1,3.4,511
52665,5,1,1,3.4,511
52666,5,1,1,3.4,511
52668,5,1,1,3.4,511
52669,1,1,1,0.9999999999999999,111
52673,4,1,1,2.8,411
52675,3,1,1,2.1999999999999997,311
52677,2,1,1,1.6,211
52679,1,1,1,0.9999999999999999,111
52681,3,1,1,2.1999999999999997,311
52685,5,1,1,3.4,511
52687,4,1,1,2.8,411
52688,2,1,1,1.6,211
52692,3,1,1,2.1999999999999997,311
52695,3,1,1,2.1999999999999997,311
52696,3,1,1,2.1999999999999997,311
52697,1,1,1,0.9999999999999999,111
52699,5,1,1,3.4,511
52701,5,1,1,3.4,511
52702,4,1,1,2.8,411
52704,2,1,1,1.6,211
52705,2,1,1,1.6,211
52707,4,1,1,2.8,411
52708,1,1,1,0.9999999999999999,111
52712,2,1,1,1.6,211
52713,1,1,1,0.9999999999999999,111
52714,4,1,1,2.8,411
52718,2,1,1,1.6,211
52720,5,1,1,3.4,511
52723,5,1,1,3.4,511
52724,1,1,1,0.9999999999999999,111
52725,4,1,1,2.8,411
52726,4,1,1,2.8,411
52727,3,1,1,2.1999999999999997,311
52729,3,1,1,2.1999999999999997,311
52730,4,1,1,2.8,411
52732,1,1,1,0.9999999999999999,111
52734,1,1,1,0.9999999999999999,111
52739,3,1,1,2.1999999999999997,311
52740,5,1,1,3.4,511
52742,2,1,1,1.6,211
52743,1,1,1,0.9999999999999999,111
52744,4,1,1,2.8,411
52746,5,1,1,3.4,511
52748,4,1,1,2.8,411
52749,5,1,1,3.4,511
52750,5,1,1,3.4,511
52753,3,1,1,2.1999999999999997,311
52756,2,1,1,1.6,211
52757,1,1,1,0.9999999999999999,111
52758,1,1,1,0.9999999999999999,111
52759,1,1,1,0.9999999999999999,111
52762,5,1,1,3.4,511
52765,4,1,1,2.8,411
52768,3,1,1,2.1999999999999997,311
52769,1,1,1,0.9999999999999999,111
52771,3,1,1,2.1999999999999997,311
52772,2,1,1,1.6,211
52773,4,1,1,2.8,411
52776,1,1,1,0.9999999999999999,111
52777,3,1,1,2.1999999999999997,311
52778,2,1,1,1.6,211
52781,2,1,1,1.6,211
52782,3,1,1,2.1999999999999997,311
52783,4,1,1,2.8,411
52787,4,1,1,2.8,411
52788,3,1,1,2.1999999999999997,311
52789,2,1,1,1.6,211
52790,4,1,1,2.8,411
52791,1,1,1,0.9999999999999999,111
52793,3,1,1,2.1999999999999997,311
52794,3,1,1,2.1999999999999997,311
52795,5,1,1,3.4,511
52798,5,1,1,3.4,511
52801,5,1,1,3.4,511
52803,3,1,1,2.1999999999999997,311
52804,3,1,1,2.1999999999999997,311
52807,3,1,1,2.1999999999999997,311
52808,2,1,1,1.6,211
52809,3,1,1,2.1999999999999997,311
52811,2,1,1,1.6,211
52812,5,1,1,3.4,511
52815,5,1,1,3.4,511
52816,3,1,1,2.1999999999999997,311
52819,2,1,1,1.6,211
52820,4,1,1,2.8,411
52822,4,1,1,2.8,411
52824,2,1,1,1.6,211
52825,5,1,1,3.4,511
52826,3,1,1,2.1999999999999997,311
52827,1,1,1,0.9999999999999999,111
52828,2,1,1,1.6,211
